PageNumber,ReportText,IsTableOfContents,IsCoverPage,DocumentBegin,IsAttatchment
1,"Ne eae |
THE SECOND ANNUAL REPORT
/ OF THE
ADVISORY COMMITTEE ON MINORITY
VETERANS
, ee
",0,1,1,0
2,"is DEPARTMENT OF VETERANS AFFAIRS
y “RY % a : Center for Minority Veterans / :
“tra J; | Washington DC 20420 7
NY ADVISORY COMMITTEE ON MINORITY VETERANS
7 August 15, 1996
The Honorable Jesse Brown
Secretary of Veterans Affairs
Department of Veterans Affairs |
810 Vermont Avenue
Washington, DC 20420
| Dear Secretary Brown,
On behalf of the members of the Advisory Committee on Minority Veterans, I am pleased
to forward to you for transmittal to the United States Congress The Second Annual
' The Advi ; ; Minority V for Fiscal Y
The Committee wishes to express its appreciation for your genuine support, guidance and
leadership in building bridges of commitment and excellence that ensure minority veterans'
full access to VA benefits, programs, and services.
Sincerely,
“Dn
David E.K. Cooper
Brigadier General, US Army (ret)
, Chairman
encl
econd Annual Report of The Committee on Minonty Veterans for Fiscal Yes
1806
",1,0,0,0
3,"i a
Statement of the Chairman, Advisory Committee on Minority Veterans

Pursuant to Section 510, Public Law 103-446, this Second Annual Report to the
United States Congress through the Secretary of Veterans Affairs describes the actions
taken by the Advisory Committee on Minority Veterans to accomplish its objectives for
fiscal year 1996.

The Committee is charged by the United States Congress and the Secretary of
Veterans Affairs with providing advice and consultation to the Congress and the Secretary
of Veterans Affairs on the needs and concerns of minority veterans with respect to the
administration of veterans’ benefits and services. ,

This mandate resulted in the Committee's initial meeting in June 1995 that led to our
first annual report for fiscal year 1995 which outlined the Committee's goals in getting to
the business of substantive advice and consultation in direct support of the welfare of our
minority veterans. Despite having only four months remaining in the fiscal year, the
Committee's deliberations led to the design of a thoughtful strategy and operational plan,
as well as high expectations, for fiscal year 1996.

, The first full year of the Committee was a period of challenge that required dedicated
effort by every member in order to sustain our solid start. Despite difficult budgetary
constraints on the Committee, the members made genuine contributions in their —
Subcommittees and across a wide front of minority veterans’ concerns.

The Subcommittee on Health Care; the Subcommittee on Labor, Employment and
Transition, the Subcommittee on Benefits and Compensation; and the Subcommittee on
Outreach and Rehabilitation accomplished much of their work by members contributing
their time and resources to do independent research, small group visits, and individual
assessments Their efforts and reports constitute the substantive portion of this Second
Annual Report.

Individual members also took time from their business trips to attend to Subcommittee
requirements, participated in meetings and conferences with veterans service and
community minority organizations to gain critical insights, and called on Congressional
and Deparment of Veterans Affairs leaders to share the Committee's findings and to ,
explain the Committee's goals and purposes in serving ail our minority veterans. Their
valuable input has been incorporated throughout this report.

2 .
",1,0,0,0
4,"A great many people throughout the Congress of the United States and the Department
of Veterans Affairs have welcomed the initiatives of the Committee in meeting the unique
needs of minority veterans and have provided thoughtful assistance in bringing people

together to illuminate and remove the barriers to dignified service to minority veterans.

Finally, this report captures the process and the actions of the Committee and clearly
suggests that while it would have been preferable to have been funded properly,
nevertheless, the hard work and commitment of the members, in concert with the Center
for Minority Veterans, led to genuine partnerships and effective collaborations with
minority organizations, veterans service organizations, community leaders, the Department
of Veterans Affairs, and those whom we serve, our minority veterans.

We complete our first year with a stronger belief in the wisdom that created Public
Law 103-446 and an eagerness to continue our challenge of advising the Secretary of
Veterans Affairs and the Congress of the United States on the needs and concerns of
minority veterans with respect to the admunistration of veterans' benefits and services.

eh. : dev Qagn—
David E.K. Cooper
] Brigadier General, US Army (ret)
Chairman |
3 7
",1,0,0,0
5,"TABLE OF CONTENTS
Statement of the Chairman, Advisory Committee on Minority Veterans
Table of Contents 4
 Executive Summary  5
Fiscal Year 1996 Report 7
Introduction
General
Major Accomplishments
Summary of Subcommittees’ Reports
Findings
Recommendations
References
Annex A, Biographical Sketches 18
Annex B, Report of the Subcommittee on Health Care :
Annex C, Report of the Subcommittee on Benefits and Compensation
Annex D, Report of the Subcommittee on Labor, Employment and Transition
Annex E, Report of the Subcommittee on Outreach and Rehabilitation
Annex F, Members’ Reports 30
Annex G, Correspondence 33 ",0,0,0,0
6,"——
EXECUTIVE SUMMARY

The Second Annual Report of the Advisory Committee on Minority Veterans describes

the fiscal challenge faced by the Committee and the alternative solutions created in

, partnership with the Department of Veterans Affairs to move forward substantively on the
operational plans developed by the four Subcommittees during the Committee's September
1995 meeting.

Fiscal year 1995 ended with a commitment by the Committee to make a difference in
providing advice and consultation to the Secretary of Veterans Affairs and the Congress of :
the United States on the needs and concerns of minority veterans with respect to the
administration of veterans' benefits and services.

Fiscal year 1996, however, was both a story of struggle and a story of success, a
period of missed opportunities and a period of creative solutions, and a cycle of collective
frustrations and a cycle of individual contributions.

This report outlines the progress of the Committee, specific accomplishments, and
findings which are informed by the concerns of the Committee, some of which are:

-inadequate and tnsufficient research in health care, compensation and benefits for
minority veterans

- insufficient ethnic representation on both the Rating Panels and the Merit Review
Boards

-lack of genuine service and outreach programs to minority veterans living in rural
areas, pacific islands, or reservations

-elimination or modification of Department or Regional programs without
sufficient input or genuine consideration of minority veterans' needs

-absence of minority advisory committees empowered to provide direct :
information and advice to Veterans Integrated Service Network (VISN) Directors and
Regional Directors on the needs and concerns of minority veterans

-Inadequate process to pursue aggressively alternative solutions to increase access
to health services

-lack of definitive policies and sustaining efforts to educate VA staff regarding
exceptional Customer service appropniate to minority cultures

-absence of ethnic identifiers on VA's initial application forms

-exciusion of veterans preference status in Part C, Title IV, Job Training
Partnership Act
",0,0,0,0
7,"-absence of aggressive programs that take care of homeless minority veterans and
provide hope, as well as properly correct cultural treatment, for minority veterans
suffering from alcohol and drug dependencies

Each of the four Subcommittees - Health Care; Benefits and Compensation; Labor,
Employment and Transition; and Outreach and Rehabilitation - report on the status of
their efforts to achieve their operational plans. Without any resources the entire fiscal
year, their planned dual strategy of regional work shops and conferences followed by
reports to the full Committee could not be instituted.

Yet, there were success stones that are reflected throughout this report.

Finally, the report concludes with sixteen specific recommendations to the Secretary of
Veterans Affairs, some of the recommendations requiring action by the United States
Congress.

6 ,
",0,0,0,0
8,"A. INTRODUCTION

The Committee conducted its last session, September 17-21, 1995, at the Department
of Veterans Affairs, Washington, DC. During this meeting each Subcommittee confirmed
its definitive operational plan with specific goals and objectives for fiscal year 1996.

Discussions with Deputy Secretary Hershel W. Gober, Under Secretary R. John Vogel,
and Chief of Staff Harold F. Gracey, Jr., confirmed their support of the Committee's goals,
objectives and its fiscal year 1996 operational plan but suggested the possibility of funding
restrictions. This became evident as the Committee planned for a February, then March,
and then a June meeting, none of which materialized.

The impact of minimal travel, per diem, and support funding also limited the Center for
Minority Veterans in starting and gaining the momentum in 1996 and in building a
communication network among the various national and local organizations, as well as
federal agencies, that could provide advice and information regarding the administration of
minority veterans' benefits and services. |
B. GENERAL

The Subcommittees based their pian on three factors: one, regional work conferences
at the most appropnate sites; two, reports to the full Committee during the twice-a-year
meetings, and three, being funded. None of the three was accomplished.

While the Committee had been unable to undertake its operational plan for fiscal year

1996 because of funding constraints, even after thoughtful suggestions by VA's leadership,
we nevertheless succeeded in accomplishing specific objectives using alternative methods.

It is not without regret that the Committee concludes what could have been a very
productive work year. The collective belief of each member of the Committee is that
while we lament not being able to do more, we are not disappointed in the process nor in
the promise of fulfilling 1996's strategy and plan in fiscal year 1997. |

7
",0,0,0,0
9,"Oe a ar
The process that has been started should not, and cannot, be turned away.
Already minority veterans are unanimous in their judgment in the wisdom of the United

States Congress in establishing the Advisory Committee on Minority Veterans and the
Center for Minority Veterans. They, too, share the President's vision of a government that
looks like and represents all of America, a Department of Veterans Affairs that takes a
direct and personal interest in the welfare of all veterans equally, and civil servants whose
commitment and skills selflessly serve the heroes and heroines who sacrificed themselves
to serve their country. They, our minority veterans, are the reason that informs the
judgment and wisdom of the United States Congress; we exist to serve them.

They can be unanimous, also, in their disappointment should their expectations of the
Committee and Center end in underachievements, marginalization, or subpar efforts.

The details that follow outline the thirteen major accomplishments of the Committee; a
summary of the Subcommittees’ reports; nine key findings and sixteen recommendations
for action based on the work of the members and Subcommittees; and seven annexes as
references as indicated in the Table of Contents.

C. MAJOR ACCOMPLISHMENTS

First, the outlook for instructive engagement of the issues and concerns facing minority
veterans was positive, particularly with the collaborative study hosted by The Honorable |
Preston M. Taylor, Jr., Assistant Secretary, Veterans' Employment and Training, US
Department of Labor. Having briefed the Committee on the study's purpose to conduct
focus group dialogues with employers and veterans, he offered the Committee the
opportunity to review the approach of the study. The Vice Chairwoman of the Committee
provided significant input to the structure of the study effort, and her recommendations
were incorporated into the study. Because of the importance of both the study and the
collaborative partnership, enclosed at Appendix | 1s a copy of the study.

Second, on the final day of the Committee's session, the Subcommittee on Health
reported that a decision was to be reached very soon on the selection of the twenty-two
VISN Directors The members recommended we advise Secretary Jesse Brown and Dr.
Kenneth Kizer, Under Secretary for Health, that they ought to review the selection
process to imsure that the widest net possible was cast for qualified minority applicants. __
Tlus timely and sensitive suggestion was genuinely received by the Secretary and Dr.

Kizer and led to their validation of the Department's appropriate selection criteria, process
and the final appointments of the twenty-two VISN Directors.
8 |
",0,0,0,0
10,"Third, based on the Subcommittee on Health's deliberations during the Committee's
September meeting, a letter dated September 28, 1995 was sent to Secretary Jesse Brown
requesting a sensitivity reassessment on the selection process for the twenty-two VISN
Directors. The Undersecretary for Health, Dr. Kenneth Kizer, responded in a positive
letter dated November 30, 1995. See Annex G.

Fourth, a letter report was forwarded to Secretary Jesse Brown detailing the
suggestions offered in an exit briefing by two members of the Committee resulting from a
visit to the Seattle's VA Regional Office on October 23-24, 1995. Eleven specific issues

, and concerns are outlined as a separate enclosure to the letter report. See Annex G.

Fifth, again based on the Subcommittees’ work sessions during the Committee's
September meeting, a November 15, 1995, letter was forwarded to Secretary Jesse Brown
outlining potential areas of examination that could improve the admimustration of veterans’
benefits and services. The areas were the composition of Rating Panels, the composition
of Merit Review Boards, the prioritization of effort to data collection/survey/research and
studies on all ethnic minority veterans, and the capabilities of the Center for Minonty
Veterans. Both the transmittal letter and the Secretary's response are at Annex G.

Sixth, a member of the Committee attended the celebration of the Japanese American
Veterans Memorial in Los Angeles and met with Japanese American veterans leaders.

Seventh, members took time from their business trips to visit with minority veterans
across the country to listen to their needs and concerns. The Center for Minority Veterans
assisted in these visits by providing the names, addresses, and phone numbers of the
minority veteran leaders. Written reports were not requested; rather, oral discussions of _
these meetings with the Director and staff, Center for Minority Veterans, was encouraged.

Eighth, members of the Committee met with members of Congress and their principal
legislative assistants to explain the Committee's purposes and goals; provide a copy of the
Committee's first annual report; describe the composition of the Committee, share the

Committee's concems regarding its tenure, budget restrictions, lack of meaningful research
data on all minority veteran's ethnic groups, and emphasize both the wisdom of the
Conuress in passing Public Law 103-446 and the expectations of our minority veterans.
Among those visited were Representative Bob Stump, Chairman of the House Committee :
on Veterans Affairs, and Car! D. Commenator, Chief Counsel and Staff Director.
Representative Lane Evans; Representative Bob Filner and his legislative assistant, Sharon
schultz, Representative Luts Gutierrez and legislative assistants Mark Fine and Bill
Weinberg, Representative Corrine Brown's legislative assistant, Gail Ravnitzky,
Representative Patsy Mink; Representative Eni Faleomavaega; Ms. Suzie Glucksman,
levisiatve assistant to Representative Joe Kennedy; and Senator John D. Rockefeller's
Minority Chief Counsel and Staff Director, Jim Gottlieb, and Minority General Counsel,
Wilham E Brew

9
",0,0,0,0
